document_id,company,workflow,source_url,reviewer_pdf,machine_output_visibility
ee03-aapl-0000320193-23-000106,Apple Inc.,human_first,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,output/pdf/evidence_engine_v0_3/ee03-aapl-0000320193-23-000106.pdf,hidden until gold freeze
ee03-aapl-0000320193-24-000081,Apple Inc.,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,output/pdf/evidence_engine_v0_3/ee03-aapl-0000320193-24-000081.pdf,shown only in separate assisted-review stage
ee03-alb-0000915913-23-000039,ALBEMARLE CORP,human_first,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-alb-0000915913-23-000039.pdf,hidden until gold freeze
ee03-alb-0000915913-24-000156,ALBEMARLE CORP,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/915913/000091591324000156/alb-20241106.htm,output/pdf/evidence_engine_v0_3/ee03-alb-0000915913-24-000156.pdf,shown only in separate assisted-review stage
ee03-amd-0000002488-23-000047,ADVANCED MICRO DEVICES INC,human_first,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-amd-0000002488-23-000047.pdf,hidden until gold freeze
ee03-amd-0000002488-24-000163,ADVANCED MICRO DEVICES INC,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,output/pdf/evidence_engine_v0_3/ee03-amd-0000002488-24-000163.pdf,shown only in separate assisted-review stage
ee03-ba-0000012927-23-000007,BOEING CO,human_first,https://www.sec.gov/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-ba-0000012927-23-000007.pdf,hidden until gold freeze
ee03-ba-0000012927-24-000082,BOEING CO,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/12927/000001292724000082/ba-20240930.htm,output/pdf/evidence_engine_v0_3/ee03-ba-0000012927-24-000082.pdf,shown only in separate assisted-review stage
ee03-cat-0000018230-23-000011,CATERPILLAR INC,human_first,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-cat-0000018230-23-000011.pdf,hidden until gold freeze
ee03-cat-0000018230-24-000053,CATERPILLAR INC,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/18230/000001823024000053/cat-20240930.htm,output/pdf/evidence_engine_v0_3/ee03-cat-0000018230-24-000053.pdf,shown only in separate assisted-review stage
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,human_first,https://www.sec.gov/Archives/edgar/data/764065/000076406523000032/clf-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-clf-0000764065-23-000032.pdf,hidden until gold freeze
ee03-clf-0000764065-24-000202,CLEVELAND-CLIFFS INC.,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/764065/000076406524000202/clf-20241104.htm,output/pdf/evidence_engine_v0_3/ee03-clf-0000764065-24-000202.pdf,shown only in separate assisted-review stage
ee03-cmi-0000026172-23-000005,CUMMINS INC,human_first,https://www.sec.gov/Archives/edgar/data/26172/000002617223000005/cmi-20221231.htm,output/pdf/evidence_engine_v0_3/ee03-cmi-0000026172-23-000005.pdf,hidden until gold freeze
ee03-cmi-0000026172-24-000043,CUMMINS INC,piotw_first_review_burden_only,https://www.sec.gov/Archives/edgar/data/26172/000002617224000043/cmi-20241105.htm,output/pdf/evidence_engine_v0_3/ee03-cmi-0000026172-24-000043.pdf,shown only in separate assisted-review stage
ee03-de-0001558370-23-019812,DEERE & CO,human_first,https://www.sec.gov/Archives/edgar/data/315189/000155837023019812/de-20231029x10k.htm,output/pdf/evidence_engine_v0_3/ee03-de-0001558370-23-019812.pdf,hidden until gold freeze
