document_id,company,ticker,source_url,report_type,publication_date,reporting_period,document_format,source_artifact,reviewer_pdf,difficulty_flags,difficulty_class,development_safe_status,annotation_workflow
ee03-aapl-0000320193-23-000106,Apple Inc.,AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,annual_report,2023-11-03,2023-09-30,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/aapl/ee02-aapl-0000320193-23-000106.html,output/pdf/evidence_engine_v0_3/ee03-aapl-0000320193-23-000106.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-aapl-0000320193-24-000081,Apple Inc.,AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,interim_report,2024-08-02,2024-06-29,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/aapl/ee02-aapl-0000320193-24-000081.html,output/pdf/evidence_engine_v0_3/ee03-aapl-0000320193-24-000081.pdf,dense_tables|adjusted_and_statutory|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-alb-0000915913-23-000039,ALBEMARLE CORP,ALB,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,annual_report,2023-02-15,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/alb/ee02-alb-0000915913-23-000039.html,output/pdf/evidence_engine_v0_3/ee03-alb-0000915913-23-000039.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-alb-0000915913-24-000156,ALBEMARLE CORP,ALB,https://www.sec.gov/Archives/edgar/data/915913/000091591324000156/alb-20241106.htm,regulatory_results_announcement,2024-11-06,2024-11-06,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/alb/ee02-alb-0000915913-24-000156.html,output/pdf/evidence_engine_v0_3/ee03-alb-0000915913-24-000156.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-amd-0000002488-23-000047,ADVANCED MICRO DEVICES INC,AMD,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,annual_report,2023-02-27,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/amd/ee02-amd-0000002488-23-000047.html,output/pdf/evidence_engine_v0_3/ee03-amd-0000002488-23-000047.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-amd-0000002488-24-000163,ADVANCED MICRO DEVICES INC,AMD,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,interim_report,2024-10-30,2024-09-28,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/amd/ee02-amd-0000002488-24-000163.html,output/pdf/evidence_engine_v0_3/ee03-amd-0000002488-24-000163.pdf,dense_tables|adjusted_and_statutory|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|duplicated_narrative_values|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-ba-0000012927-23-000007,BOEING CO,BA,https://www.sec.gov/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm,annual_report,2023-01-27,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/ba/ee02-ba-0000012927-23-000007.html,output/pdf/evidence_engine_v0_3/ee03-ba-0000012927-23-000007.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-ba-0000012927-24-000082,BOEING CO,BA,https://www.sec.gov/Archives/edgar/data/12927/000001292724000082/ba-20240930.htm,interim_report,2024-10-23,2024-09-30,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/ba/ee02-ba-0000012927-24-000082.html,output/pdf/evidence_engine_v0_3/ee03-ba-0000012927-24-000082.pdf,dense_tables|adjusted_and_statutory|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-cat-0000018230-23-000011,CATERPILLAR INC,CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,annual_report,2023-02-15,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/cat/ee02-cat-0000018230-23-000011.html,output/pdf/evidence_engine_v0_3/ee03-cat-0000018230-23-000011.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-cat-0000018230-24-000053,CATERPILLAR INC,CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823024000053/cat-20240930.htm,interim_report,2024-11-06,2024-09-30,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/cat/ee02-cat-0000018230-24-000053.html,output/pdf/evidence_engine_v0_3/ee03-cat-0000018230-24-000053.pdf,dense_tables|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,CLF,https://www.sec.gov/Archives/edgar/data/764065/000076406523000032/clf-20221231.htm,annual_report,2023-02-14,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/clf/ee02-clf-0000764065-23-000032.html,output/pdf/evidence_engine_v0_3/ee03-clf-0000764065-23-000032.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-clf-0000764065-24-000202,CLEVELAND-CLIFFS INC.,CLF,https://www.sec.gov/Archives/edgar/data/764065/000076406524000202/clf-20241104.htm,regulatory_results_announcement,2024-11-04,2024-11-04,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/clf/ee02-clf-0000764065-24-000202.html,output/pdf/evidence_engine_v0_3/ee03-clf-0000764065-24-000202.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-cmi-0000026172-23-000005,CUMMINS INC,CMI,https://www.sec.gov/Archives/edgar/data/26172/000002617223000005/cmi-20221231.htm,annual_report,2023-02-14,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/cmi/ee02-cmi-0000026172-23-000005.html,output/pdf/evidence_engine_v0_3/ee03-cmi-0000026172-23-000005.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-cmi-0000026172-24-000043,CUMMINS INC,CMI,https://www.sec.gov/Archives/edgar/data/26172/000002617224000043/cmi-20241105.htm,regulatory_results_announcement,2024-11-05,2024-11-05,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/cmi/ee02-cmi-0000026172-24-000043.html,output/pdf/evidence_engine_v0_3/ee03-cmi-0000026172-24-000043.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-de-0001558370-23-019812,DEERE & CO,DE,https://www.sec.gov/Archives/edgar/data/315189/000155837023019812/de-20231029x10k.htm,annual_report,2023-12-15,2023-10-29,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/de/ee02-de-0001558370-23-019812.html,output/pdf/evidence_engine_v0_3/ee03-de-0001558370-23-019812.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-de-0001558370-24-012529,DEERE & CO,DE,https://www.sec.gov/Archives/edgar/data/315189/000155837024012529/de-20240728x10q.htm,interim_report,2024-08-29,2024-07-28,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/de/ee02-de-0001558370-24-012529.html,output/pdf/evidence_engine_v0_3/ee03-de-0001558370-24-012529.pdf,dense_tables|restated_prior_year|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-dell-0001571996-23-000007,Dell Technologies Inc.,DELL,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/dell-20230203.htm,annual_report,2023-03-30,2023-02-03,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/dell/ee02-dell-0001571996-23-000007.html,output/pdf/evidence_engine_v0_3/ee03-dell-0001571996-23-000007.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-dell-0001571996-24-000130,Dell Technologies Inc.,DELL,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000130/dell-20241126.htm,regulatory_results_announcement,2024-11-26,2024-11-26,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/dell/ee02-dell-0001571996-24-000130.html,output/pdf/evidence_engine_v0_3/ee03-dell-0001571996-24-000130.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-dow-0001751788-23-000014,DOW INC.,DOW,https://www.sec.gov/Archives/edgar/data/1751788/000175178823000014/dow-20221231.htm,annual_report,2023-02-01,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/dow/ee02-dow-0001751788-23-000014.html,output/pdf/evidence_engine_v0_3/ee03-dow-0001751788-23-000014.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-dow-0001751788-24-000147,DOW INC.,DOW,https://www.sec.gov/Archives/edgar/data/1751788/000175178824000147/dow-20241024.htm,regulatory_results_announcement,2024-10-24,2024-10-24,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/dow/ee02-dow-0001751788-24-000147.html,output/pdf/evidence_engine_v0_3/ee03-dow-0001751788-24-000147.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
ee03-emn-0000915389-23-000015,EASTMAN CHEMICAL CO,EMN,https://www.sec.gov/Archives/edgar/data/915389/000091538923000015/emn-20221231.htm,annual_report,2023-02-15,2022-12-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/emn/ee02-emn-0000915389-23-000015.html,output/pdf/evidence_engine_v0_3/ee03-emn-0000915389-23-000015.pdf,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,human_first
ee03-emn-0000915389-24-000225,EASTMAN CHEMICAL CO,EMN,https://www.sec.gov/Archives/edgar/data/915389/000091538924000225/emn-20241031.htm,regulatory_results_announcement,2024-10-31,2024-10-31,SEC inline-XBRL HTML plus reviewer PDF rendering,data/evidence_engine_v0_2/raw/emn/ee02-emn-0000915389-24-000225.html,output/pdf/evidence_engine_v0_3/ee03-emn-0000915389-24-000225.pdf,|visual_pdf_rendering|table_reading_order,difficult,external_us_development_no_outcomes,piotw_first_review_burden_only
