document_id,company,ticker,cik,document_type,form,filing_date,reporting_period,accession,primary_document,source_url,local_artifact,sha256,development_safe_status
ee037-independent-01-1-adbe,Adobe Inc.,ADBE,0001652044,annual_report,10-K,2026-02-05,2025-12-31,0001652044-26-000018,goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-01-1-adbe.html,c2f6301004f35411a20611c14ff01d80a85c0bcbab6053c80d8cc7f6fc747161,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-01-2-adbe,Adobe Inc.,ADBE,0001652044,interim_report,10-Q,2026-07-23,2026-06-30,0001652044-26-000071,goog-20260630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-01-2-adbe.html,fecfbc2683f630380b17937278ce3745eca150eb90e21a945fd6b78fe19728c7,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-02-1-intu,Intuit Inc.,INTU,0000896878,annual_report,10-K,2025-09-03,2025-07-31,0000896878-25-000035,intu-20250731.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687825000035/intu-20250731.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-02-1-intu.html,c3cbd8cf065332ae94c4cf22c84651aba21865da3663bc32405a155e5abadbc9,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-02-2-intu,Intuit Inc.,INTU,0000896878,interim_report,10-Q,2026-05-20,2026-04-30,0000896878-26-000025,intu-20260430.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687826000025/intu-20260430.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-02-2-intu.html,02e8841df957fb9e5865043740d56c418df5ef96a48b9b4c96935cbe8d2c78a6,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-03-1-now,"ServiceNow, Inc.",NOW,0001373715,annual_report,10-K,2026-01-29,2025-12-31,0001373715-26-000007,now-20251231.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-03-1-now.html,9bb399d4bc6ab5cac70c9bada0f8d750429ff4a32113c840668bd1c5979aa6e1,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-03-2-now,"ServiceNow, Inc.",NOW,0001373715,interim_report,10-Q,2026-07-23,2026-06-30,0001373715-26-000076,now-20260630.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000076/now-20260630.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-03-2-now.html,038d700534ab64dedae753a9f224d80a466b77ba7e516474329daf76dcf38835,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-04-1-lrcx,Lam Research Corporation,LRCX,0000707549,annual_report,10-K,2026-08-07,2026-06-28,0000707549-26-000037,lrcx-20260628.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/lrcx-20260628.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-04-1-lrcx.html,1efe9ac795b5bcd16a163133d86dec15fcbb0be34c1ea5004bc912eda66658cc,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-04-2-lrcx,Lam Research Corporation,LRCX,0000707549,interim_report,10-Q,2026-04-23,2026-03-29,0000707549-26-000022,lrcx-20260329.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754926000022/lrcx-20260329.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-04-2-lrcx.html,df2ebd543c688cbe0310c44e9320c8377f72dcd65da814b3f53125c379339fca,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-05-1-amat,"Applied Materials, Inc.",AMAT,0000006951,annual_report,10-K,2025-12-12,2025-10-26,0001628280-25-056742,amat-20251026.htm,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-05-1-amat.html,293e7090a8a8fd6dc0bcd664e35c4dd6a8f9e65006d8bbdbd92042cb3d6f9139,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
ee037-independent-05-2-amat,"Applied Materials, Inc.",AMAT,0000006951,interim_report,10-Q,2026-05-21,2026-04-26,0001628280-26-037227,amat-20260426.htm,https://www.sec.gov/Archives/edgar/data/6951/000162828026037227/amat-20260426.htm,data/evidence_engine_v0_3_7_independent/sources/ee037-independent-05-2-amat.html,37add482e2b9894dfd552d94a2791c4f2e47dc176e18fb4f4a0a9f8d16d27be1,UNSEEN_FROZEN_INDEPENDENT_VALIDATION
